Coords, Spline 1, Spline 2, Spline 3, Spline 4, Spline 5, Spline 6, Spline 7, Spline 8, Spline 9, Spline 10, Spline 11, Spline 12, Spline 13, Spline 14, Spline 15, Spline 16, Spline 17, Spline 18
6.516291e-01, 0, 0, 0, 0, 0, 3.096589e-01, 6.676497e-01, 2.269144e-02, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
6.566416e-01, 0, 0, 0, 0, 0, 2.789053e-01, 6.890566e-01, 3.203812e-02, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
6.616541e-01, 0, 0, 0, 0, 0, 2.497597e-01, 7.072474e-01, 4.299282e-02, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
6.666667e-01, 0, 0, 0, 0, 0, 2.222222e-01, 7.222222e-01, 5.555556e-02, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
6.716792e-01, 0, 0, 0, 0, 0, 1.962927e-01, 7.339809e-01, 6.972632e-02, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
6.766917e-01, 0, 0, 0, 0, 0, 1.719713e-01, 7.425236e-01, 8.550512e-02, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
6.817043e-01, 0, 0, 0, 0, 0, 1.492579e-01, 7.478502e-01, 1.028919e-01, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
6.867168e-01, 0, 0, 0, 0, 0, 1.281525e-01, 7.499607e-01, 1.218868e-01, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
6.917293e-01, 0, 0, 0, 0, 0, 1.086551e-01, 7.488552e-01, 1.424897e-01, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
6.967419e-01, 0, 0, 0, 0, 0, 9.076576e-02, 7.445336e-01, 1.647006e-01, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
7.017544e-01, 0, 0, 0, 0, 0, 7.448446e-02, 7.369960e-01, 1.885195e-01, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
7.067669e-01, 0, 0, 0, 0, 0, 5.981118e-02, 7.262423e-01, 2.139465e-01, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
7.117794e-01, 0, 0, 0, 0, 0, 4.674594e-02, 7.122725e-01, 2.409815e-01, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
7.167920e-01, 0, 0, 0, 0, 0, 3.528872e-02, 6.950867e-01, 2.696246e-01, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
7.218045e-01, 0, 0, 0, 0, 0, 2.543954e-02, 6.746848e-01, 2.998756e-01, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
7.268170e-01, 0, 0, 0, 0, 0, 1.719838e-02, 6.510669e-01, 3.317347e-01, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
7.318296e-01, 0, 0, 0, 0, 0, 1.056526e-02, 6.242329e-01, 3.652019e-01, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
7.368421e-01, 0, 0, 0, 0, 0, 5.540166e-03, 5.941828e-01, 4.002770e-01, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
7.418546e-01, 0, 0, 0, 0, 0, 2.123102e-03, 5.609167e-01, 4.369602e-01, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
7.468672e-01, 0, 0, 0, 0, 0, 3.140684e-04, 5.244345e-01, 4.752514e-01, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
7.518797e-01, 0, 0, 0, 0, 0, 0, 4.850755e-01, 5.148115e-01, 1.130646e-04, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
7.568922e-01, 0, 0, 0, 0, 0, 0, 4.463822e-01, 5.520977e-01, 1.520091e-03, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
7.619048e-01, 0, 0, 0, 0, 0, 0, 4.092971e-01, 5.861678e-01, 4.535147e-03, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
7.669173e-01, 0, 0, 0, 0, 0, 0, 3.738199e-01, 6.170219e-01, 9.158234e-03, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
7.719298e-01, 0, 0, 0, 0, 0, 0, 3.399508e-01, 6.446599e-01, 1.538935e-02, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
7.769424e-01, 0, 0, 0, 0, 0, 0, 3.076897e-01, 6.690819e-01, 2.322850e-02, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
7.819549e-01, 0, 0, 0, 0, 0, 0, 2.770366e-01, 6.902877e-01, 3.267567e-02, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
7.869674e-01, 0, 0, 0, 0, 0, 0, 2.479915e-01, 7.082776e-01, 4.373088e-02, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
7.919799e-01, 0, 0, 0, 0, 0, 0, 2.205545e-01, 7.230514e-01, 5.639412e-02, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
7.969925e-01, 0, 0, 0, 0, 0, 0, 1.947255e-01, 7.346091e-01, 7.066539e-02, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
8.020050e-01, 0, 0, 0, 0, 0, 0, 1.705046e-01, 7.429507e-01, 8.654468e-02, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
